name,tags,url
Fresh Lime Soda,Drink,http://www.reneerogers.com/wp-content/uploads/2012/05/photo.jpg
Lassi,Drink,https://cdn.awesomecuisine.com/wp-content/uploads/2007/11/salt_lassi.jpg
Butter Milk,Drink,https://cdn.awesomecuisine.com/wp-content/uploads/2008/11/masala_buttermilk.jpg
Fresh Fruit Juice,Drink,https://assets.marthastewart.com/styles/wmax-1500/d28/watermelondrink-0397-d111106/watermelondrink-0397-d111106_sq.jpg?itok=xb13duAG
Fruit Salad,Dessert,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOPZAtOnr3D-1JboxFr-Ikgjlly5CMK6PXFHPYu0CHgG4tHdPuAg
Fruit Salad with Ice Cream,Dessert,https://previews.123rf.com/images/foodandmore/foodandmore1703/foodandmore170300121/73793192-tasty-fresh-tropical-fruit-salad-with-a-twist-of-whipped-cream-or-vanilla-ice-cream-drizzled-with-sy.jpg
Vanilla(Single Scoop),Dessert,https://www.decorcentral.com/images/D/ISD301-L.jpg
Vanilla(Double Scoop),Dessert,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_366,h_240,c_fill/jsaq9vlyeq2umvagyrlo"
Butterscotch(Single Scoop),Dessert,https://s3-ap-southeast-1.amazonaws.com/sb-singleserver-prod-bucket/21ab737bb7259ddaaf0eb2f38c28b996/o_1489471067.jpg
Butterscotch(Double Scoop),Dessert,"https://res.cloudinary.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_366,h_240,c_fill/rhbmwcspesqcnw7eg9sv"
Strawberry(Double Scoop),Dessert,http://www.paramfood.in/wp-content/uploads/2016/02/strawberry-Ice-Cream-300x300.jpg
Chocolate(Double Scoop),Dessert,https://inspirationseek.com/wp-content/uploads/2016/02/Chocolate-Ice-Cream-Pictures.jpg
Fruit Over Load,Dessert,http://bossqueenicecream.binary-mlm-software.com/image/f3.jpg
Haveli Special Ice Cream,Dessert,https://yummraj.files.wordpress.com/2016/12/img_4289.jpg
Milk Shake,Dessert,https://4.bp.blogspot.com/-HyXvZDWLxrc/Vw18aMujj8I/AAAAAAAAcAk/EfZON2HaAzEOUWI0lHSLYjMSzjTgCTcTACLcB/s1600/Chocolate%2BPeanut%2BButter%2BSwirl%2BMilkshakes%2B1.jpg
Milk Shake with Ice Cream,Dessert,https://d33oocx83zywzt.cloudfront.net/img650_new/14916008.jpg
